transaction_number,amount,item
1096,1,EspressoHot
1096,1,Cappucino Hot
1096,1,Americano Hot
1098,1,Cappucino Iced
1098,1,Macchiato Iced
1098,1,Latte Hot
1098,1,V60
1098,1,V60
1098,1,Almond Croisant
1098,1,Almond Croisant
1098,1,Decaf Coffee
1099,1,Americano Iced
1099,1,Americano Iced
1099,1,Decaf Coffee
1100,1,Americano Iced
1100,1,Latte Iced
1100,2,Latte Iced
1102,1,Latte Iced
1102,1,Pain Au Chocolat
1102,1,Brownies
1103,1,V60
1103,1,V60
1109,1,Latte Hot
1109,1,Pistachio Croissant
1110,1,Cappucino Hot
1110,1,Pistachio Croissant
1112,1,Cappucino Hot
1113,1,V60
1116,1,Americano Iced
1116,1,Latte Iced
1116,1,Pistachio Croissant
1116,1,Americano Iced
1117,1,Americano Hot
1117,1,Americano Iced
1119,1,Americano Iced
1119,1,Plain Croisant
1119,1,Almond Croisant
1119,1,Americano Iced
1120,1,Americano Iced
1120,1,Cappucino Iced
1120,1,Pistachio Croissant
1120,1,Latte Iced
1120,1,Americano Iced
1121,1,Almond Croisant
1121,1,Cappucino Iced
1121,1,Pistachio Croissant
1122,1,Pistachio Croissant
1122,1,Almond Croisant
1123,1,Americano Iced
1123,1,Latte Iced
1123,2,Latte Iced
1124,1,V60
1125,1,Cappucino Hot
1125,1,Pistachio Croissant
1125,1,Almond Croisant
1126,1,Americano Hot
1126,1,Longblack Iced
1126,1,Cappucino Iced
1126,1,Pain Au Chocolat
1130,1,Flat White Hot
1131,2,Latte Hot
1131,1,Americano Hot
1131,1,Pistachio Croissant
1131,1,Almond Croisant
1133,1,Magic Latte
1133,1,Magic Latte
1135,1,Latte Iced
1135,1,Pain Au Chocolat
1135,1,Pain Au Chocolat
1136,1,Flat White Hot
1138,1,Almond Croisant
1139,1,Latte Iced
1139,1,Pistachio Croissant
1141,1,Pain Au Chocolat
1141,1,Cappucino Hot
1142,1,Mochaccino Hot
1145,1,Latte Iced
1146,1,Latte Iced
1146,1,Latte Iced
1146,1,Latte Iced
1148,1,Latte Iced
1148,1,Cappucino Iced
1150,1,Cappucino Iced
1150,1,Latte Iced
1150,1,Almond Croisant
1153,1,Latte Iced
1153,1,Latte Iced
1154,1,Americano Hot
1155,1,Flat White Hot
1155,1,Latte Hot
1155,1,Decaf Coffee
1156,1,Cappucino Hot
1156,1,Pain Au Chocolat
1157,1,V60
1157,1,Cappucino Hot
1160,5,Latte Hot
1162,1,Latte Iced
1162,1,Latte Iced
1163,1,Latte Hot
1163,1,Longblack Hot
1165,1,Cappucino Hot
1165,1,Cappucino Iced
1165,1,Latte Iced
1167,1,Cappucino Hot
1167,2,V60
1168,1,Latte Hot
1168,1,Almond Croisant
1168,1,Cappucino Hot
1168,1,Latte Iced
1170,1,Latte Iced
1170,1,Flat White Hot
1170,1,Magic Latte
1170,1,Latte Hot
1173,1,Latte Hot
1174,2,Cappucino Iced
1175,1,Latte Iced
1176,1,Latte Iced
1176,1,Latte Iced
1176,1,Americano Hot
1177,1,Latte Hot
1177,2,Cappucino Hot
1178,1,Americano Hot
1178,1,Americano Hot
1178,1,Plain Croisant
1178,1,Pain Au Chocolat
1178,1,Cappucino Iced
1179,1,Latte Hot
1180,1,Longblack Hot
1180,1,Cappucino Iced
1180,1,Cappucino Hot
1182,1,Americano Iced
1183,1,Latte Iced
1184,1,Latte Hot
1186,1,Latte Iced
1188,1,Latte Iced
1188,1,Americano Hot
1188,1,Americano Iced
1188,1,Americano Iced
1189,1,Latte Iced
1191,1,V60
1193,1,Latte Iced
1195,1,Latte Iced
1195,1,Pain Au Chocolat
1196,1,Latte Iced
1196,1,Latte Hot
1196,1,Pain Au Chocolat
1197,1,Latte Hot
1198,1,Plain Croisant
1200,1,Cappucino Iced
1200,1,Cappucino Iced
1200,1,Brownies
1200,1,Plain Croisant
1205,1,Flat White Iced
1205,1,Latte Iced
1205,1,Latte Iced
1205,1,Latte Iced
1207,1,Americano Iced
1208,1,Latte Iced
1208,1,Mochaccino Iced
1208,1,Americano Iced
1209,1,Almond Croisant
1209,1,Cappucino Iced
1210,1,V60
1211,1,Latte Hot
1212,1,Brownies
1213,1,Flat White Hot
1213,1,Pistachio Croissant
1217,1,Brownies
1218,1,Longblack Hot
1219,1,Flat White Hot
1219,1,Flat White Hot
1220,2,Flat White Iced
1221,1,V60
1222,1,Cappucino Iced
1222,1,Americano Iced
1224,1,Almond Croisant
1224,1,Latte Iced
1225,1,Americano Iced
1226,1,Brownies
1226,1,Cappucino Hot
1228,1,Longblack Iced
1228,1,Brownies
1230,1,Americano Iced
1231,1,Americano Iced
1231,2,Almond Croisant
1232,1,Cappucino Hot
1232,1,Brownies
1233,1,Cappucino Hot
1233,1,Latte Iced
1235,1,Pain Au Chocolat
1236,1,Americano Iced
1236,1,Americano Iced
1236,1,Cappucino Hot
1236,1,Almond Croisant
1236,1,Latte Hot
1236,1,Latte Iced
1237,1,V60
1239,1,V60
1239,1,Brownies
1240,1,Latte Iced
1240,1,Cappucino Iced
1241,1,Latte Iced
1242,1,Latte Iced
1242,1,Brownies
1245,1,Cappucino Hot
1245,1,Americano Hot
1246,1,Cappucino Iced
1246,1,Latte Iced
1246,1,Cappucino Hot
1246,1,Brownies
1246,1,Latte Iced
1247,1,V60
1247,1,Latte Iced
1247,1,Pain Au Chocolat
1247,1,Latte Hot
1247,1,Decaf Coffee
1248,1,Cappucino Iced
1249,1,Americano Iced
1249,1,V60
1249,1,Americano Hot
1249,1,Brownies
1249,1,Latte Iced
1251,2,Latte Iced
1251,1,Brownies
1252,1,Latte Iced
1255,1,Latte Iced
1256,1,Latte Iced
1257,1,Latte Hot
1257,1,Decaf Coffee
1260,3,Cappucino Hot
1260,1,Brownies
1260,1,Almond Croisant
1261,1,Americano Iced
1271,1,Cappucino Hot
1272,1,Latte Hot
1272,1,Almond Croisant
1276,1,Cappucino Hot
1276,1,Latte Iced
1279,1,Latte Hot
1279,1,Brownies
1280,1,Latte Hot
1280,1,Latte Hot
1280,1,Americano Hot
1280,1,Americano Hot
1280,1,Flat White Hot
1280,1,Cappucino Hot
1281,1,Longblack Iced
1281,1,Latte Hot
1285,1,Latte Iced
1286,1,Americano Hot
1286,1,Cappucino Hot
1287,1,Latte Hot
1287,1,Americano Iced
1289,1,Americano Iced
1289,1,Brownies
1290,1,Almond Croisant
1290,1,Cappucino Hot
1290,1,Cappucino Iced
1290,1,Almond Croisant
1290,1,Latte Iced
1291,1,Cappucino Hot
1293,1,Latte Iced
1293,1,Americano Iced
1293,1,Americano Iced
1294,1,Cappucino Iced
1294,1,Flat White Hot
1296,1,EspressoHot
1298,1,Cappucino Hot
1298,2,Plain Croisant
1298,1,Pain Au Chocolat
1298,1,PiccoloHot
1298,1,Almond Croisant
1299,1,Latte Iced
1299,1,V60
1299,1,Americano Iced
1302,1,Cappucino Hot
1302,1,Cappucino Hot
1303,1,Americano Iced
1305,1,Flat White Hot
1306,1,Latte Iced
1306,1,Cappucino Iced
1307,1,Cappucino Hot
1307,1,Latte Iced
1308,1,Latte Iced
1308,1,Latte Iced
1308,1,Flat White Hot
1310,1,Latte Hot
1310,1,Pain Au Chocolat
1311,1,Latte Hot
1311,1,Pain Au Chocolat
1311,1,Latte Iced
1311,1,Cappucino Hot
1316,1,Almond Croisant
1316,1,Almond Croisant
1317,1,Cappucino Hot
1317,1,Decaf Coffee
1318,1,Latte Iced
1321,1,Cappucino Hot
1322,1,V60
1322,1,V60
1322,1,Latte Iced
1322,1,Cappucino Iced
1323,1,Mochaccino Iced
1323,1,Cappucino Hot
1324,1,V60
1324,1,Macchiato Iced
1324,1,Decaf Coffee
1325,2,Americano Hot
1326,2,Flat White Hot
1326,2,Almond Croisant
1326,1,Americano Iced
1327,1,Latte Iced
1328,1,Mochaccino Iced
1328,1,Latte Iced
1328,1,Almond Croisant
1331,1,Almond Croisant
1331,1,Latte Iced
1332,2,Flat White Iced
1333,1,Latte Hot
1333,1,Latte Iced
1336,1,LatteHot
1336,1,Plain Croisant
1336,1,Pain Au Chocolat
1337,2,Latte Hot
1337,1,Latte Hot
1337,1,Americano Hot
1337,1,Latte Hot
1337,1,Latte Hot
1337,1,Latte Hot
1337,1,Pain Au Chocolat
1337,1,Almond Croisant
1338,1,Macchiato Iced
1338,1,Decaf Coffee
1339,1,V60
1339,1,V60
1341,1,Cappucino Hot
1345,1,Americano Iced
1345,1,Almond Croisant
1345,1,Americano Hot
1345,1,Americano Iced
1347,1,Magic Latte
1348,1,Cappucino Hot
1350,1,Latte Iced
1350,1,Cappucino Hot
1351,1,LatteHot
1351,2,Americano Iced
1352,1,Latte Iced
1352,1,Americano Iced
1352,1,Americano Iced
1352,1,Americano Iced
1353,1,Latte Iced
1357,1,Cappucino Iced
1357,1,Cappucino Iced
1357,1,Latte Iced
1357,1,Americano Iced
1357,1,Americano Iced
1357,1,Almond Croisant
1357,1,Cappucino Hot
1357,1,Pain Au Chocolat
1358,1,Magic Latte
1358,1,Cappucino Hot
1358,1,Almond Croisant
1359,1,V60
1359,1,Americano Iced
1360,1,Latte Iced
1360,1,Almond Croisant
1362,1,Cappucino Hot
1364,1,V60
1364,1,V60
1364,1,PiccoloHot
1364,1,Cappucino Hot
1364,1,Plain Croisant
1364,1,Pain Au Chocolat
1364,1,Pistachio Croissant
1366,1,Latte Iced
1366,1,Cappucino Hot
1367,1,Latte Iced
1367,1,Cappucino Hot
1369,1,Americano Iced
1369,1,Pistachio Croissant
1370,1,Americano Iced
1370,1,Pain Au Chocolat
1372,1,V60
1372,1,Latte Iced
1373,1,Americano Iced
1373,1,Cappucino Hot
1373,1,Latte Iced
1373,1,Cappucino Hot
1375,1,Latte Iced
1376,1,Latte Iced
1376,1,Cappucino Iced
1376,1,Cappucino Hot
1379,1,Latte Iced
1383,1,Americano Iced
1383,1,Cappucino Iced
1384,1,Latte Iced
1384,1,Latte Iced
1388,2,Americano Iced
1389,1,Latte Iced
1390,1,Cappucino Hot
1390,1,Latte Iced
1392,1,V60
1393,1,LatteHot
1393,1,Plain Croisant
1394,1,Pistachio Croissant
1395,1,Latte Iced
1395,1,Longblack Hot
1396,1,Almond Croisant
1399,1,Latte Iced
1401,1,V60
1401,1,Brownies
1401,1,Pain Au Chocolat
1403,1,Flat White Iced
1404,1,Latte Iced
1404,1,V60
1409,1,PiccoloHot
1409,1,Latte Iced
1410,1,Latte Iced
1411,1,Latte Iced
1411,1,Latte Iced
1412,1,Cappucino Iced
1413,1,Flat White Hot
1413,1,Americano Hot
1414,1,Americano Iced
1414,1,Decaf Coffee
1416,1,Cappucino Iced
1416,1,Latte Iced
1419,1,Mochaccino Iced
1419,1,Flat White Iced
1420,3,Latte Iced
1420,1,Longblack Iced
1421,1,Latte Iced
1421,1,Americano Iced
1421,1,Flat White Iced
1421,1,Latte Iced
1421,1,Latte Iced
1421,1,Americano Hot
1422,1,Decaf Coffee
1422,1,Latte Iced
1423,1,V60
1425,1,Latte Hot
1428,1,Americano Iced
1433,1,Latte Hot
1436,1,Flat White Hot
1437,1,Latte Hot
1438,1,Flat White Hot
1438,1,Flat White Hot
1439,1,Pistachio Croissant
1439,1,Brownies
1440,1,Americano Iced
1440,1,Pain Au Chocolat
1442,2,Americano Iced
1442,1,Americano Hot
1443,1,Cappucino Hot
1443,1,Almond Croisant
1445,1,Latte Iced
1446,1,Almond Croisant
1446,1,Pistachio Croissant
1446,2,Latte Hot
1446,1,Latte Iced
1447,2,EspressoHot
1447,1,Cappucino Hot
1450,2,Americano Hot
1450,1,Cappucino Hot
1450,1,Latte Iced
1452,1,Flat White Hot
1452,1,Cappucino Hot
1453,1,Cappucino Iced
1453,1,Pistachio Croissant
1454,1,Cappucino Iced
1454,1,Almond Croisant
1454,1,Cappucino Iced
1454,1,Cappucino Iced
1455,1,Latte Hot
1455,1,Americano Iced
1455,1,Latte Hot
1456,1,Flat White Hot
1456,1,Cappucino Hot
1457,1,Latte Iced
1457,2,Latte Hot
1457,1,Americano Hot
1457,1,Latte Iced
1457,1,Decaf Coffee
1458,1,Latte Hot
1459,1,Pain Au Chocolat
1459,1,Pistachio Croissant
1459,1,Cold Brew
1460,1,Latte Iced
1460,1,Almond Croisant
1462,1,Latte Hot
1462,1,Cappucino Hot
1462,1,Cappucino Hot
1462,1,Latte Hot
1463,1,Cappucino Iced
1467,1,Americano Iced
1467,1,Latte Hot
1468,1,PiccoloHot
1470,1,Latte Hot
1470,1,Pistachio Croissant
1471,1,Cappucino Hot
1472,1,Cappucino Hot
1472,1,Cappucino Hot
1473,2,Latte Iced
1474,1,Americano Hot
1474,1,Latte Hot
1476,2,Cappucino Iced
1476,1,Pain Au Chocolat
1476,1,Almond Croisant
1480,1,Latte Iced
1483,1,V60
1484,1,Latte Iced
1485,1,Latte Iced
1487,1,Cappucino Hot
1488,1,Latte Iced
1488,1,Almond Croisant
1489,1,Americano Iced
1491,1,Americano Iced
1494,1,Latte Iced
1494,1,Pain Au Chocolat
1495,1,Cake Of The Day
1496,1,Americano Hot
1496,1,Latte Iced
1496,1,Cake Of The Day
1497,1,Cake Of The Day
1498,1,Latte Iced
1498,1,Plain Croisant
1498,1,Americano Hot
1498,1,Americano Iced
1498,1,Cake Of The Day
1499,1,Cappucino Hot
1500,1,PiccoloIced
1500,1,V60
1500,1,Pistachio Croissant
1503,1,Cappucino Hot
1503,1,V60
1503,1,Cake Of The Day
1505,1,Latte Iced
1505,1,Cake Of The Day
1506,2,Cappucino Iced
1506,1,Cappucino Iced
1506,2,Latte Iced
1507,1,Latte Iced
1507,1,Plain Croisant
1507,1,Cake Of The Day
1508,1,Americano Iced
1508,1,Latte Iced
1510,1,V60
1513,1,Cake Of The Day
1514,1,Cake Of The Day
1516,1,Latte Hot
1518,1,Latte Iced
1518,1,Latte Iced
1518,1,Cappucino Iced
1519,1,Latte Iced
1519,1,Latte Iced
1520,1,Cappucino Iced
1520,1,Almond Croisant
1523,1,Latte Iced
1523,1,Americano Iced
1525,1,Cappucino Iced
1525,1,Cappucino Iced
1525,1,Plain Croisant
1526,1,Latte Iced
1532,1,LatteHot
1532,1,Latte Iced
1532,1,Cappucino Hot
1535,1,Latte Iced
1535,1,Americano Iced
1537,1,Latte Iced
1537,1,Decaf Coffee
1537,1,Cappucino Iced
1537,1,Pain Au Chocolat
1538,1,Cappucino Hot
1538,1,Longblack Hot
1539,1,Latte Iced
1539,1,Latte Hot
1541,1,Magic Latte
1541,1,Magic Latte
1542,1,Americano Iced
1542,1,PiccoloHot
1543,1,LatteHot
1543,1,Americano Iced
1543,1,Latte Iced
1544,1,Flat White Hot
1544,1,Cappucino Hot
1544,1,Latte Iced
1545,1,Latte Iced
1545,1,V60
1546,1,Cappucino Iced
1546,1,Flat White Iced
1546,1,Cappucino Iced
1546,1,Flat White Iced
1547,1,Americano Iced
1547,1,Americano Iced
1549,1,Americano Iced
1549,1,Latte Iced
1549,1,Cappucino Iced
1550,1,Cake Of The Day
1550,1,Cappucino Hot
1550,1,Cappucino Hot
1551,1,Almond Croisant
1554,1,LatteHot
1554,1,LatteHot
1554,1,Cappucino Hot
1554,1,Plain Croisant
1555,1,Latte Iced
1555,1,Latte Iced
1555,1,Brownies
1555,1,Cake Of The Day
1555,1,Brownies
1556,1,Latte Iced
1556,1,Decaf Coffee
1558,1,Latte Iced
1560,1,Latte Hot
1560,1,PiccoloHot
1560,1,Almond Croisant
